,relation,pipeline,term_1_umls_name,term_2_umls_name,term_1_umls_synonyms,term_2_umls_synonyms,sentence,evidence_count,is_correct,is_food_entity_correct
12,cause,chemdis,(-)-cholesterol,(neoplasms) or (cancers),"(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)","(neoplasms) or (cancers);(neoplasms) or (cancers) (disorder);[x]mal neo w'out specfctn/site;[x]malignant neoplasm without specification of site;[x]malignant neoplasm without specification of site (disorder);^cancer;ca;ca - cancer;ca - unspecified site;ca - unspecified site nos;ca - unspecified site nos (disorder);cancer (diagnosis);cancer (nos);cancer nos;cancer, nos;cancer, unspecified site;cancers;mal neo w'out specfctn/site;malig neop of unspec site;malig neop of unspec site nos;malignancies;malignancy nos;malignancy, unspecified site;malignant growth;malignant neoplasm (diagnosis);malignant neoplasm of unspecified site;malignant neoplasm of unspecified site (disorder);malignant neoplasm of unspecified site nos;malignant neoplasm of unspecified site nos (disorder);malignant neoplasm without specification of site;malignant neoplastic disease;malignant neoplastic disease (disorder);malignant tumor;malignant tumor (disorder);malignant tumoral disease;malignant tumors;malignant tumour;malignant tumour (disorder);malignant tumours;neoplasm malignant;neoplasm/cancer;neoplasms - malignant;neoplasms, malignant;neoplastic disease, malignant;tumor; malignant, unclassified;tumor; unclassified, malignant","Physical inactivity, low fruit and vegetable intake, high fast food consumption and high cholesterol are predominant causes of cardiovascular disease and some cancers.",1,,
13,cause,chemdis,(-)-cholesterol,3-00 cardiovascular disorders: general terms,"(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)","3-00 cardiovascular disorders: general terms;[x]cardiovasc disease,unspecif;[x]cardiovascular disease, unspecified;[x]cardiovascular disease, unspecified (disorder);cardiovasc dis;cardiovasc disease,unspecif;cardiovascular disease;cardiovascular disease (cvd);cardiovascular disease, nos;cardiovascular disease, unspecified;cardiovascular diseases;cardiovascular disorder;cardiovascular disorder (nos);cardiovascular disorder nos;cardiovascular disorder, nos;cardiovascular disorders;cardiovascular disorders (diagnosis);cardiovascular disorders, general;cardiovascular disorders: general terms;cardiovascular system disease;cardiovascular system diseases;cardiovascular system--diseases;cardiovascular; disorder;chapter 3 diseases of the cardiovascular system;cv disorders;cvd - cardiovascular disease;cvd, nos;cvs - cardiovascular system diseases;cvs disease;cvs disease - cardiovascular system disease;cvs disorders nos;disease (or disorder); cardiovascular;disease of cardiovascular system;disease of cardiovascular system (disorder);disease of cardiovascular system, nos;disease or syndrome of cardiovascular system;disease, cardiovascular;disease;cardiovascular;diseases affecting the entire cardiovascular system;diseases and syndromes of cardiovascular system;diseases of the cardiovascular system;diseases, cardiovascular;disorder cardiovascular (nos);disorder of cardiovascular system;disorder of cardiovascular system (disorder);general cardiovascular system diseases and syndromes;section 3-0 diseases affecting the entire cardiovascular system","Familial hypercholesterolemia is a rare disorder characterized by high cholesterol levels and early cardiovascular disease.___Data from inter- and intrapopulation studies have clearly demonstrated that as total and LDL cholesterol levels increase, cardiovascular disease risk increases.___In fact, high-protein, low-carbohydrate diets may add additional risk to individuals with cardiovascular disease due to their high fat and cholesterol content combined with decreased intake of fruits, vegetables, whole grains, and other nutrients related to cardiovascular risk.___Now, in the high-saturated fat, low-fibre supermarket age, this may be a disadvantage and predisposes consumers to high serum cholesterol and increased risk of cardiovascular disease.___Physical inactivity, low fruit and vegetable intake, high fast food consumption and high cholesterol are predominant causes of cardiovascular disease and some cancers.",5,,
14,cause,chemdis,(-)-cholesterol,3-10 heart diseases: general terms,"(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)","3-10 heart diseases: general terms;cardiac dis;cardiac disease;cardiac diseases;cardiac disorder;cardiac disorder nos;cardiac disorders;cardiopathies;cardiopathy;cardiopathy, nos;cordis; morbus;disease cardiac;disease disorders heart;disease hearts;disease or syndrome of heart;disease;heart;diseases and syndromes of heart;diseases disorders heart;diseases of the heart;disorder cardiac (nos);disorder heart;disorder of heart;heart dis;heart disease;heart disease (diagnosis);heart disease (disorder);heart disease disorder;heart disease nos;heart disease nos (disorder);heart disease, nos;heart disease, unspecified;heart diseases;heart diseases: general terms;heart disorder;heart disorders;heart--diseases;morbus cordis;morbus cordis nos;morbus cordis, nos;morbus; cordis;rndx cardiac;rndx cardiac (diagnosis);section 3-1 heart diseases;syndrome heart disease;unspecified heart problem","Obesity is a risk factor for multiple serious health problems in adults, including heart disease, hardening of the arteries, high cholesterol, high blood pressure, certain types of cancer, stroke, diabetes, muscle and bone disorders and gallbladder disease.",1,,
15,cause,chemdis,(-)-cholesterol,[x]inj bl vess unsp body reg,"(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)","[x]inj bl vess unsp body reg;[x]injury of blood vessel(s) of unspecified body region;[x]injury of blood vessel(s) of unspecified body region (disorder);blood injuries vessel;blood vessel injuries;blood vessel injury;blood vessel injury nos;blood vessel; injury;d-40 injuries of the blood vessels;inj bl vess unsp body reg;injuries of the blood vessels;injuries, vascular;injuries, vascular system;injury blood vessel;injury of blood vessel;injury of blood vessel (diagnosis);injury of blood vessel (disorder);injury of blood vessel(s) of unspecified body region;injury of blood vessel, nos;injury to blood vessel nos;injury to blood vessel nos (disorder);injury to blood vessels;injury to blood vessels of unspecified site;injury, vascular;injury, vascular system;injury; blood vessel;system injuries, vascular;system injury, vascular;vascular injuries;vascular injury;vascular injury nos;vascular system injuries;vascular system injury;vessel injury","Experimental induction of marked hyperlipemia and hypercholesterolemia by feeding a high fat egg yolk-rich diet (supplemented with cholesterol, choleate, and thiouracil), and use of viosterol to cause vascular injury, led to severe atherosclerosis, coronary occlusion, and myocardial infarction.",1,,
16,cause,chemdis,(-)-cholesterol,adult onset diabetes,"(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)","adult onset diabetes;adult onset diabetes mellitus;adult-onset diabetes;adult-onset diabetes mellitus;adult-onset; diabetes;aodm;diabete type 2;diabetes mellitus (adult onset);diabetes mellitus (niddm);diabetes mellitus - adult ons;diabetes mellitus - adult onset;diabetes mellitus -adult onset;diabetes mellitus maturity onset;diabetes mellitus non insulin dependent;diabetes mellitus non insulin-dep;diabetes mellitus non-insulin-dependent;diabetes mellitus nos late onset;diabetes mellitus type 02;diabetes mellitus type 2;diabetes mellitus type 2 (disorder);diabetes mellitus type ii;diabetes mellitus, adult onset;diabetes mellitus, adult onset type;diabetes mellitus, adult-onset;diabetes mellitus, ketosis resistant;diabetes mellitus, ketosis-resistant;diabetes mellitus, maturity onset;diabetes mellitus, maturity-onset;diabetes mellitus, non insulin dependent;diabetes mellitus, non-insulin dependent;diabetes mellitus, non-insulin-dependent;diabetes mellitus, noninsulin dependent;diabetes mellitus, noninsulin-dependent;diabetes mellitus, slow onset;diabetes mellitus, slow-onset;diabetes mellitus, stable;diabetes mellitus, type 2;diabetes mellitus, type ii;diabetes mellitus: [adult onset] or [noninsulin dependent];diabetes mellitus: [adult onset] or [noninsulin dependent] (disorder);diabetes non-insulin dependent;diabetes type 2;diabetes type ii;diabetes, adult onset;diabetes, ketosis resistant;diabetes, maturity onset;diabetes, maturity-onset;diabetes, type 2;diabetes, type ii;diabetes; adult-onset;diabetes; maturity-onset;diabetes; niddm;diabetes; non-insulin-dependent;diabetes; nonketotic;diabetes; type ii;diabetes;adult onset;diabetes;non insulin depend;diabetes;type 2;ketosis resistant diabetes;ketosis-resistant diabetes mellitus;late onset diabetes;maturity onset diabetes;maturity onset diabetes mellit;maturity onset diabetes mellitus;maturity-onset diabetes;maturity-onset diabetes mellitus;maturity-onset; diabetes;mod;ncdmm;niddm;niddm - non-insulin dependent diabetes mellitus;niddm diabetes mellitus;niddm-non-ins dep diabetes mel;niddm; diabetes;non insulin dependent diabetes;non-ins-dep diabetes mellitus;non-insulin dependent diabetes;non-insulin dependent diabetes mellitus;non-insulin-dependent diabetes;non-insulin-dependent diabetes mellitus;non-insulin-dependent; diabetes;noninsulin dependent diab.mell;noninsulin dependent diabetes;noninsulin dependent diabetes mellitus;noninsulin-dependent diabetes;noninsulin-dependent diabetes mellitus;nonketotic; diabetes;slow-onset diabetes mellitus;stable diabetes mellitus;t2dm - type 2 diabetes mellitus;type 2 diabetes;type 2 diabetes mellitus;type 2 diabetes mellitus (diagnosis);type 2 diabetes mellitus non-insulin dependent;type ii diabetes;type ii diabetes mellitus;type ii diabetes mellitus (disorder);type ii; diabetes","The increased risk of coronary heart disease associated with type 2 diabetes may be partially explained by dyslipidemia characterized by high plasma triacylglycerol (TAG), low HDL cholesterol, and a predominance of atherogenic small dense LDLs.",1,,
17,cause,chemdis,(-)-cholesterol,angiopathy,"(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)","angiopathy;angiopathy, nos;blood vessel disease;blood vessel disorder;blood vessels; disorder;blood-vessels--diseases;disease (or disorder); blood vessels;disease (or disorder); vascular;disease, vascular;diseases, vascular;disorder of blood vessel;disorder of blood vessel (disorder);disorder vascular;disorder; vascular;section 3-8 vascular diseases;unspecified vascular problem;vasc;vascular (extracardiac) disorders;vascular dis;vascular disease;vascular disease (disorder);vascular disease or syndrome;vascular disease, nos;vascular diseases;vascular diseases and syndromes;vascular disorder;vascular disorder nos;vascular disorder, nos;vascular disorders;vascular problem;vascular problem, nos;vascular system disorders;vascular system disorders (diagnosis);vascular; disorder;vascular_nos;vascular_nos problem;vasculopathy","Elevated serum cholesterol, a major cause of vascular disease, has been strongly correlated with eating greater than normal amounts of cholesterol and saturated fatty acids.",1,,
18,cause,chemdis,(-)-cholesterol,arteries coronary occluded,"(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)","arteries coronary occluded;artery coronary occlusion;coronary (artery) occlusion;coronary artery occluded;coronary artery occlusion;coronary artery occlusion (diagnosis);coronary occlusion;coronary occlusion (disorder);coronary occlusion nos;coronary occlusion, nos;coronary occlusions;occlusion coronary;occlusion coronary artery;occlusion, coronary;occlusion;coronary;occlusions, coronary","Experimental induction of marked hyperlipemia and hypercholesterolemia by feeding a high fat egg yolk-rich diet (supplemented with cholesterol, choleate, and thiouracil), and use of viosterol to cause vascular injury, led to severe atherosclerosis, coronary occlusion, and myocardial infarction.",1,,
19,cause,chemdis,(-)-cholesterol,atherosclerosis,"(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)",atherosclerosis,"These differences in lipid levels and experimental atherosclerosis are thought to arise from 1) increased endogenous triglyceride synthesis, present in serum as very low-density lipoproteins; 2) impaired clearance of these lipoproteins; 3) slowed turnover of cholesterol into bile acids; and 4) possible changes in aortic connective tissue metabolism.___Experimental induction of marked hyperlipemia and hypercholesterolemia by feeding a high fat egg yolk-rich diet (supplemented with cholesterol, choleate, and thiouracil), and use of viosterol to cause vascular injury, led to severe atherosclerosis, coronary occlusion, and myocardial infarction.___Dietary fats containing saturated fatty acids at the beta-position tend to raise plasma total and LDL-cholesterol, which, of course, contribute to atherosclerosis and coronary heart disease.___Not only hypercholesterolemia but also low levels of high density lipoprotein cholesterol are critical risk factors for atherosclerosis and related diseases.",4,,
20,cause,chemdis,(-)-cholesterol,body fails to respond to insulin,"(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)","body fails to respond to insulin;drug resistance to insulin;drug resistance to insulin (disorder);insulin resistance;insulin resistance (diagnosis);insulin resistance (disorder);resistance, insulin","Insulin resistance syndrome is the theory that glucose intolerance, hyperinsulinemia, increased very low density lipoprotein triglyceride level, decreased high density lipoprotein cholesterol level, and hypertension are proposed consequences of insulin resistance.",1,,
21,cause,chemdis,(-)-cholesterol,"cardiovascular syndrome, metabolic","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)","cardiovascular syndrome, metabolic;cardiovascular syndromes, metabolic;dysmetabolic syndrome x;dysmetabolic syndrome x (diagnosis);equine metabolic syndrome;insulin resistance syndrome x;metabolic cardiovascular syndrome;metabolic syndrome;metabolic syndrome x;metabolic syndrome x (disorder);metabolic syndromes;metabolic x syndrome;reaven syndrome x;reaven's syndrome;syndrome metabolic;syndrome x (metabolic);syndrome x insulin resistance;syndrome x, dysmetabolic;syndrome x, insulin resistance;syndrome x, metabolic;syndrome x, reaven;syndrome, metabolic;syndrome, metabolic cardiovascular;syndrome, metabolic x;syndromes, metabolic;x syndrome, metabolic","The metabolic syndrome (MetS) is manifested by a lipid triad which includes elevated serum triglycerides, small LDL particles, and low high-density lipoprotein (HDL) cholesterol, by central obesity (central adiposity), insulin resistance, glucose intolerance and elevated blood pressure, and it is associated with an increased risk of type 2 diabetes and coronary heart disease.",1,,
22,cause,chemdis,(-)-cholesterol,"cholesterol level, high","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)","cholesterol level, high;cholesterol levels, high;cholesterol, elevated;cholesterols, elevated;elevated cholesterol;elevated cholesterols;elevated total cholesterol;high blood cholesterol level;high cholesterol levels;hypercholesteraemia;hypercholesteremia;hypercholesteremias;hypercholesterolaemia;hypercholesterolaemia, nos;hypercholesterolemia (diagnosis);hypercholesterolemia (disorder);hypercholesterolemia (elevated plasma cholesterol);hypercholesterolemia, nos;hypercholesterolemias;increased total cholesterol;level, high cholesterol;levels, high cholesterol","Patients with the following features are candidates for LMD therapy: have clinical CHD and a low-density lipoprotein cholesterol (LDLC) level > 3.0 mmol/l despite optimum non-pharmacological intervention, or suffer from familial hypercholesterolaemia (FH) or equivalent severe, monogenic disorder, or have a 10-year risk of an acute clinical coronary event of > 20% (or > 30% risk if extrapolated to the age of 60 years) owing to the presence of the hyperlipidaemia alone or in combination with contributory risk factors.",1,,
23,cause,chemdis,(-)-cholesterol,coronary heart disease,"(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)",coronary heart disease,"For many years, it has been recognized that elevated serum cholesterol is a risk factor associated with atherosclerosis and coronary heart disease, the latter being a major cause of death in Western countries.___Dietary fats containing saturated fatty acids at the beta-position tend to raise plasma total and LDL-cholesterol, which, of course, contribute to atherosclerosis and coronary heart disease.___Their consumption has been peddled to supposedly raise the level of blood cholesterol, thereby increasing the risk of coronary heart disease.___There are elderly persons at increased risk of coronary heart disease due to elevated LDL cholesterol, lowered HDL cholesterol, or both.___While cholesterol is produced naturally by our bodies, a high blood concentration of certain types of cholesterol is a predisposing factor for coronary heart disease.",5,,
24,cause,chemdis,(-)-cholesterol,diabetes,"(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)",diabetes,"Hypercholesterolemia, also called high cholesterol, is a form of hyperlipidemia, which may be a consequence of diet, obesity or diabetes.",1,,
