,term_2_umls_synonyms,term_1_umls_name,is correct,pipeline,relation,term_2_umls_name,evidence_count,sentence,term_1_umls_synonyms
14,"adult onset diabetes;adult onset diabetes mellitus;adult-onset diabetes;adult-onset diabetes mellitus;adult-onset; diabetes;aodm;diabete type 2;diabetes mellitus (adult onset);diabetes mellitus (niddm);diabetes mellitus - adult ons;diabetes mellitus - adult onset;diabetes mellitus -adult onset;diabetes mellitus maturity onset;diabetes mellitus non insulin dependent;diabetes mellitus non insulin-dep;diabetes mellitus non-insulin-dependent;diabetes mellitus nos late onset;diabetes mellitus type 02;diabetes mellitus type 2;diabetes mellitus type 2 (disorder);diabetes mellitus type ii;diabetes mellitus, adult onset;diabetes mellitus, adult onset type;diabetes mellitus, adult-onset;diabetes mellitus, ketosis resistant;diabetes mellitus, ketosis-resistant;diabetes mellitus, maturity onset;diabetes mellitus, maturity-onset;diabetes mellitus, non insulin dependent;diabetes mellitus, non-insulin dependent;diabetes mellitus, non-insulin-dependent;diabetes mellitus, noninsulin dependent;diabetes mellitus, noninsulin-dependent;diabetes mellitus, slow onset;diabetes mellitus, slow-onset;diabetes mellitus, stable;diabetes mellitus, type 2;diabetes mellitus, type ii;diabetes mellitus: [adult onset] or [noninsulin dependent];diabetes mellitus: [adult onset] or [noninsulin dependent] (disorder);diabetes non-insulin dependent;diabetes type 2;diabetes type ii;diabetes, adult onset;diabetes, ketosis resistant;diabetes, maturity onset;diabetes, maturity-onset;diabetes, type 2;diabetes, type ii;diabetes; adult-onset;diabetes; maturity-onset;diabetes; niddm;diabetes; non-insulin-dependent;diabetes; nonketotic;diabetes; type ii;diabetes;adult onset;diabetes;non insulin depend;diabetes;type 2;ketosis resistant diabetes;ketosis-resistant diabetes mellitus;late onset diabetes;maturity onset diabetes;maturity onset diabetes mellit;maturity onset diabetes mellitus;maturity-onset diabetes;maturity-onset diabetes mellitus;maturity-onset; diabetes;mod;ncdmm;niddm;niddm - non-insulin dependent diabetes mellitus;niddm diabetes mellitus;niddm-non-ins dep diabetes mel;niddm; diabetes;non insulin dependent diabetes;non-ins-dep diabetes mellitus;non-insulin dependent diabetes;non-insulin dependent diabetes mellitus;non-insulin-dependent diabetes;non-insulin-dependent diabetes mellitus;non-insulin-dependent; diabetes;noninsulin dependent diab.mell;noninsulin dependent diabetes;noninsulin dependent diabetes mellitus;noninsulin-dependent diabetes;noninsulin-dependent diabetes mellitus;nonketotic; diabetes;slow-onset diabetes mellitus;stable diabetes mellitus;t2dm - type 2 diabetes mellitus;type 2 diabetes;type 2 diabetes mellitus;type 2 diabetes mellitus (diagnosis);type 2 diabetes mellitus non-insulin dependent;type ii diabetes;type ii diabetes mellitus;type ii diabetes mellitus (disorder);type ii; diabetes",cholesterol,0.0,chemdis,cause,adult onset diabetes,1,"The increased risk of coronary heart disease associated with type 2 diabetes may be partially explained by dyslipidemia characterized by high plasma triacylglycerol (TAG), low HDL cholesterol, and a predominance of atherogenic small dense LDLs.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
15,"angiopathy;angiopathy, nos;blood vessel disease;blood vessel disorder;blood vessels; disorder;blood-vessels--diseases;disease (or disorder); blood vessels;disease (or disorder); vascular;disease, vascular;diseases, vascular;disorder of blood vessel;disorder of blood vessel (disorder);disorder vascular;disorder; vascular;section 3-8 vascular diseases;unspecified vascular problem;vasc;vascular (extracardiac) disorders;vascular dis;vascular disease;vascular disease (disorder);vascular disease or syndrome;vascular disease, nos;vascular diseases;vascular diseases and syndromes;vascular disorder;vascular disorder nos;vascular disorder, nos;vascular disorders;vascular problem;vascular problem, nos;vascular system disorders;vascular system disorders (diagnosis);vascular; disorder;vascular_nos;vascular_nos problem;vasculopathy",cholesterol,1.0,chemdis,cause,angiopathy,1,"Elevated serum cholesterol, a major cause of vascular disease, has been strongly correlated with eating greater than normal amounts of cholesterol and saturated fatty acids.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
16,"arteries coronary occluded;artery coronary occlusion;coronary (artery) occlusion;coronary artery occluded;coronary artery occlusion;coronary artery occlusion (diagnosis);coronary occlusion;coronary occlusion (disorder);coronary occlusion nos;coronary occlusion, nos;coronary occlusions;occlusion coronary;occlusion coronary artery;occlusion, coronary;occlusion;coronary;occlusions, coronary",cholesterol,0.0,chemdis,cause,arteries coronary occluded,1,"Experimental induction of marked hyperlipemia and hypercholesterolemia by feeding a high fat egg yolk-rich diet (supplemented with cholesterol, choleate, and thiouracil), and use of viosterol to cause vascular injury, led to severe atherosclerosis, coronary occlusion, and myocardial infarction.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
17,atherosclerosis,cholesterol,1.0,chemdis,cause,atherosclerosis,4,"These differences in lipid levels and experimental atherosclerosis are thought to arise from 1) increased endogenous triglyceride synthesis, present in serum as very low-density lipoproteins; 2) impaired clearance of these lipoproteins; 3) slowed turnover of cholesterol into bile acids; and 4) possible changes in aortic connective tissue metabolism.___Experimental induction of marked hyperlipemia and hypercholesterolemia by feeding a high fat egg yolk-rich diet (supplemented with cholesterol, choleate, and thiouracil), and use of viosterol to cause vascular injury, led to severe atherosclerosis, coronary occlusion, and myocardial infarction.___Dietary fats containing saturated fatty acids at the beta-position tend to raise plasma total and LDL-cholesterol, which, of course, contribute to atherosclerosis and coronary heart disease.___Not only hypercholesterolemia but also low levels of high density lipoprotein cholesterol are critical risk factors for atherosclerosis and related diseases.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
18,"body fails to respond to insulin;drug resistance to insulin;drug resistance to insulin (disorder);insulin resistance;insulin resistance (diagnosis);insulin resistance (disorder);resistance, insulin",cholesterol,0.0,chemdis,cause,body fails to respond to insulin,1,"Insulin resistance syndrome is the theory that glucose intolerance, hyperinsulinemia, increased very low density lipoprotein triglyceride level, decreased high density lipoprotein cholesterol level, and hypertension are proposed consequences of insulin resistance.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
19,"cardiovascular syndrome, metabolic;cardiovascular syndromes, metabolic;dysmetabolic syndrome x;dysmetabolic syndrome x (diagnosis);equine metabolic syndrome;insulin resistance syndrome x;metabolic cardiovascular syndrome;metabolic syndrome;metabolic syndrome x;metabolic syndrome x (disorder);metabolic syndromes;metabolic x syndrome;reaven syndrome x;reaven's syndrome;syndrome metabolic;syndrome x (metabolic);syndrome x insulin resistance;syndrome x, dysmetabolic;syndrome x, insulin resistance;syndrome x, metabolic;syndrome x, reaven;syndrome, metabolic;syndrome, metabolic cardiovascular;syndrome, metabolic x;syndromes, metabolic;x syndrome, metabolic",cholesterol,1.0,chemdis,cause,"cardiovascular syndrome, metabolic",1,"The metabolic syndrome (MetS) is manifested by a lipid triad which includes elevated serum triglycerides, small LDL particles, and low high-density lipoprotein (HDL) cholesterol, by central obesity (central adiposity), insulin resistance, glucose intolerance and elevated blood pressure, and it is associated with an increased risk of type 2 diabetes and coronary heart disease.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
20,"cholesterol level, high;cholesterol levels, high;cholesterol, elevated;cholesterols, elevated;elevated cholesterol;elevated cholesterols;elevated total cholesterol;high blood cholesterol level;high cholesterol levels;hypercholesteraemia;hypercholesteremia;hypercholesteremias;hypercholesterolaemia;hypercholesterolaemia, nos;hypercholesterolemia (diagnosis);hypercholesterolemia (disorder);hypercholesterolemia (elevated plasma cholesterol);hypercholesterolemia, nos;hypercholesterolemias;increased total cholesterol;level, high cholesterol;levels, high cholesterol",cholesterol,0.0,chemdis,cause,"cholesterol level, high",1,"Patients with the following features are candidates for LMD therapy: have clinical CHD and a low-density lipoprotein cholesterol (LDLC) level > 3.0 mmol/l despite optimum non-pharmacological intervention, or suffer from familial hypercholesterolaemia (FH) or equivalent severe, monogenic disorder, or have a 10-year risk of an acute clinical coronary event of > 20% (or > 30% risk if extrapolated to the age of 60 years) owing to the presence of the hyperlipidaemia alone or in combination with contributory risk factors.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
21,coronary heart disease,cholesterol,1.0,chemdis,cause,coronary heart disease,5,"For many years, it has been recognized that elevated serum cholesterol is a risk factor associated with atherosclerosis and coronary heart disease, the latter being a major cause of death in Western countries.___Dietary fats containing saturated fatty acids at the beta-position tend to raise plasma total and LDL-cholesterol, which, of course, contribute to atherosclerosis and coronary heart disease.___Their consumption has been peddled to supposedly raise the level of blood cholesterol, thereby increasing the risk of coronary heart disease.___There are elderly persons at increased risk of coronary heart disease due to elevated LDL cholesterol, lowered HDL cholesterol, or both.___While cholesterol is produced naturally by our bodies, a high blood concentration of certain types of cholesterol is a predisposing factor for coronary heart disease.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
22,diabetes,cholesterol,1.0,chemdis,cause,diabetes,1,"Hypercholesterolemia, also called high cholesterol, is a form of hyperlipidemia, which may be a consequence of diet, obesity or diabetes.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
23,"dis metab;disease, metabolic;disease;metabolic;diseases, metabolic;disorder of metabolism nos;disorder of metabolism nos (disorder);disorder; metabolism;disorder;metabolic;general; metabolic disorder;generalised metabolic disorder;generalized metabolic disorder;generalized metabolic disorder (disorder);md - metabolic disorders;metab dis;metabolic derangement;metabolic disease;metabolic disease (disorder);metabolic disease, nos;metabolic diseases;metabolic disorder;metabolic disorder nos;metabolic disorder, nos;metabolic disorder, unspecified;metabolic disorder; general;metabolic disorders;metabolic disorders (diagnosis);metabolic disorders (disorder);metabolic disorders: general;metabolism disorder;metabolism disorder nos;metabolism disorders;metabolism--disorders;metabolism; disorder;metabolism; disorder, general;rndx metabolic;rndx metabolic (diagnosis);thesaurismoses;thesaurismosis;unspecified disorder of metabolism",cholesterol,1.0,chemdis,cause,dis metab,1,"Obesity is a metabolic disorder that can lead to adverse metabolic effects on blood pressure, cholesterol, triglycerides and insulin resistance and also increases the risk of coronary heart disease, ischemic stroke and type 2 diabetes mellitus.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
24,dyslipidaemia;dyslipidemia;dyslipidemia (diagnosis);dyslipidemia (disorder);dyslipidemias;high blood cholesterol/triglycerides,cholesterol,1.0,chemdis,cause,dyslipidaemia,1,"After an 8-year follow up period, the Bogalusa Heart Study showed that children with low high density lipoprotein cholesterol, high triglyceride levels and high body mass index had a notably increased occurrence of dyslipidemia as adults.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
25,fatty infiltration of liver;fatty liver;hepatic steatosis;liver steatosis,cholesterol,1.0,chemdis,cause,fatty infiltration of liver,1,Cholesterol feeding induced marked hepatic steatosis (HS) characterized by the whitish appearance of the liver.,"(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
26,glucose intolerance,cholesterol,0.0,chemdis,cause,glucose intolerance,1,"Insulin resistance syndrome is the theory that glucose intolerance, hyperinsulinemia, increased very low density lipoprotein triglyceride level, decreased high density lipoprotein cholesterol level, and hypertension are proposed consequences of insulin resistance.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
27,high cholesterol;high cholesterol level;hypercholesterolemia,cholesterol,1.0,chemdis,cause,high cholesterol,1,Familial hypercholesterolemia is a rare disorder characterized by high cholesterol levels and early cardiovascular disease.,"(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
28,hyperglycemia,cholesterol,0.0,chemdis,cause,hyperglycemia,1,Metabolic syndrome is characterized by hypertension; hyperglycemia; hypertriglyceridemia; reduced high-density lipoprotein cholesterol levels and abdominal obesity.,"(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
29,hyperlipidemia,cholesterol,1.0,chemdis,cause,hyperlipidemia,1,"Hypercholesterolemia, also called high cholesterol, is a form of hyperlipidemia, which may be a consequence of diet, obesity or diabetes.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
30,hypertension,cholesterol,0.0,chemdis,cause,hypertension,2,"Metabolic syndrome is characterized by hypertension; hyperglycemia; hypertriglyceridemia; reduced high-density lipoprotein cholesterol levels and abdominal obesity.___The 3 factors are hypertension, smoking, and high levels of cholesterol in the blood.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
31,hypertriglyceridemia,cholesterol,0.0,chemdis,cause,hypertriglyceridemia,1,"It is most frequently accompanied by hypertriglyceridemia, reduced HDL cholesterol levels, abdominal obesity, insulin resistance and by a series of other metabolic alterations predictive of an impaired endothelial function and increased susceptibility to thrombosis.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
